dt_pos_utc,Port,OperatorCountryofDomicileName,vessel_type,count
2023-01-05,REO,Indonesia,Tanker,1
2023-01-25,REO,Indonesia,Tanker,1
2023-02-06,REO,Indonesia,Tanker,1
2023-02-10,REO,Indonesia,Cargo,1
2023-02-13,REO,Indonesia,Tanker,1
2023-03-03,REO,Indonesia,Tanker,1
2023-03-11,REO,Indonesia,Tanker,1
2023-03-19,REO,Indonesia,Tanker,1
2023-03-31,REO,Indonesia,Tanker,1
2023-04-07,REO,Indonesia,Tanker,1
2023-04-15,REO,Indonesia,Tanker,1
2023-04-23,REO,Indonesia,Tanker,1
2023-05-04,REO,Indonesia,Tanker,1
2023-05-30,REO,Indonesia,Tanker,1
2023-06-02,REO,Indonesia,Tanker,1
2023-06-03,REO,Indonesia,Tanker,1
2023-06-17,REO,Vietnam,Cargo,1
2023-07-02,REO,Indonesia,Tanker,1
2023-07-09,REO,Indonesia,Tanker,1
2023-07-20,REO,Indonesia,Tanker,1
2023-09-17,REO,Vietnam,Cargo,1
2023-09-20,REO,Vietnam,Cargo,1
2023-10-16,REO,Vietnam,Cargo,1
2023-11-28,REO,Vietnam,Cargo,1
2023-12-06,REO,Indonesia,Tanker,1
