date,Port,status_country_domicile,vessel_type,count
2023-09-15,REO,Foreign,Cargo,1
2023-10-11,REO,Foreign,Cargo,1
2023-02-20,REO,Domestic,Cargo,2
2023-11-21,REO,Foreign,Cargo,1
2023-02-11,REO,Domestic,Cargo,1
2023-03-11,REO,Domestic,Tanker,1
2023-03-31,REO,Domestic,Tanker,1
2023-01-05,REO,Domestic,Tanker,1
2023-06-09,REO,Foreign,Cargo,1
2023-01-25,REO,Domestic,Tanker,1
2023-07-02,REO,Domestic,Tanker,1
2023-07-19,REO,Domestic,Tanker,1
2023-06-03,REO,Domestic,Tanker,1
2023-05-30,REO,Domestic,Tanker,1
2023-02-19,REO,Domestic,Cargo,2
2023-11-28,REO,Domestic,Tanker,1
2023-02-13,REO,Domestic,Tanker,1
2023-05-04,REO,Domestic,Tanker,1
2023-06-02,REO,Domestic,Tanker,1
2023-12-06,REO,Domestic,Tanker,1
2023-04-07,REO,Domestic,Tanker,1
2023-04-23,REO,Domestic,Tanker,1
2023-04-15,REO,Domestic,Tanker,1
2023-07-09,REO,Domestic,Tanker,1
2023-02-06,REO,Domestic,Tanker,1
2023-03-19,REO,Domestic,Tanker,1
2023-03-03,REO,Domestic,Tanker,1
2023-09-18,REO,Foreign,Cargo,1
2023-02-10,REO,Domestic,Cargo,2
